,order_line_id,order_id,date_id,order_date,customer_id,product_id,category,seller_id,seller_rating,location_id_x,delivery_person_id,payment_id,campaign_id,fulfillment_id,quantity,unit_price,discount_percentage,tax_percentage,shipping_fee,expected_delivery_date,actual_delivery_date,delivery_rating,order_status,return_flag,refund_amount,return_date,customer_rating,review_text,sentiment_score,delivery_delay_days,delivery_sla_days,gross_amount,discount_amount,tax_amount,net_amount,product_name,brand,first_name,email_x,phone_number_x,marital_status,payment_method,payment_provider,description,seller_name,email_y,phone_number_y,join_date,location_id_y,rating,category_focus,bank_name,bank_account_number,ifsc_code,delivery_person_name,phone_number,gender,date_of_joining,employment_type,vehicle_type,location_id,state,city,postal_code,region,latitude,longitude,area_type,location_category
10,OL00000011,ORD0209022,2025-10-08,2025-10-08,CUST034053,PROD000310,Beauty,SELL1706,3.9,LOC0044,DEL02692,PAY011,CAMP0129,FUL002,3,299,4.92,5.0,86.64,2025-10-10,2025-10-10,4.8,Completed,False,0.0,,4.0,Texture feels smooth and lightweight.,0.6,0,2,897,44.1324,44.85,984.3576,Lip Balm SPF 30,Burt's Bees,lavanya,lavanyakeer7296@gmail.com,+91 93760 23918,Divorced,Wallet,Paytm,Payment via Paytm (Wallet),Borra-Mani,borra-mani1062@gmail.com,+91 86458 69229,2022-09-18,LOC0053,4.5,Beauty,Bank of Baroda,65757100000000,BARB9599914,Siya Mahajan,+91 74789 79595,Female,2023-08-24,Full-Time,EV Bike,LOC0044,Gujarat,Bhavnagar,273826,West,10.349578,82.209134,Semi-Urban,Tier-3
11,OL00000012,ORD0301764,2025-06-09,2025-06-09,CUST053435,PROD000448,Sports,SELL4374,3.8,LOC0059,DEL07211,PAY001,CAMP0083,FUL001,2,3995,6.72,5.0,46.27,2025-06-14,2025-06-14,4.3,Completed,False,0.0,,4.8,Highly reliable during workouts.,0.63,0,5,7990,536.928,399.5,7898.842000000001,Running Jacket Windproof,Nike,manjari,manjarisubramanian@gmail.com,+91 92356 13060,Married,Credit Card,Visa,Payment via Visa (Credit Card),Arora-Bhatia,arora-bhatia@gmail.com,+91 71309 49798,2021-06-12,LOC0089,1.6,Sports,Union Bank of India,693552788,UBIN5590673,Gatik Kala,+91 90247 58554,Male,2022-10-14,Full-Time,EV Bike,LOC0059,Madhya Pradesh,Rewa,661016,Central,36.631323,89.613066,Semi-Urban,Tier-3
12,OL00000013,ORD0102964,2025-10-30,2025-10-30,CUST013060,PROD000480,Sports,SELL2225,4.1,LOC0062,DEL06728,PAY003,CAMP0043,FUL002,1,1299,7.88,5.0,86.64,2025-11-01,2025-11-01,4.1,Completed,False,0.0,,3.4,Highly reliable during workouts.,0.82,0,2,1299,102.3612,64.95,1348.2288,Hand Paddles Swim Training,Finis,veer,veerdevi2650@gmail.com,+91 87066 94218,Single,Credit Card,RuPay,Payment via RuPay (Credit Card),"Kibe, Sha and Golla",kibeshaandgolla8528@gmail.com,+91 93792 47129,2021-12-18,LOC0026,3.3,Sports,Canara Bank,88882462572,CNRB6341065,Adah Chakrabarti,+91 66501 14392,Male,2022-12-02,Full-Time,Scooter,LOC0062,Kerala,Kozhikode,986186,South,16.594143,79.659457,Urban,Tier-2
13,OL00000014,ORD0249869,2025-11-23,2025-11-23,CUST063063,PROD000239,Home,SELL1580,4.1,LOC0030,DEL04609,PAY004,CAMP0030,FUL003,2,699,2.82,5.0,215.79,2025-11-24,2025-11-24,4.2,Completed,False,0.0,,3.5,Very functional and practical.,0.7,0,1,1398,39.42359999999999,69.9,1644.2664,Emergency Light Rechargeable,Eveready,rati,ratisha@gmail.com,+91 63675 54377,Single,Debit Card,Visa,Payment via Visa (Debit Card),"Bhatnagar, Chatterjee and Rajan",bhatnagarchatterjeeandrajan@gmail.com,+91 96715 68969,2026-03-03,LOC0079,1.6,Home,Punjab National Bank,7277374064,PUNB7838076,Anay Sachdev,+91 88918 10739,Male,2021-09-18,Contract,Van,LOC0030,Uttar Pradesh,Noida,522344,North,30.365537,87.77081,Semi-Urban,Tier-3
14,OL00000015,ORD0115126,2025-11-28,2025-11-28,CUST051229,PROD001057,Bags & Luggage,SELL3454,3.8,LOC0041,DEL04187,PAY004,CAMP0188,FUL002,1,5999,9.79,5.0,86.64,2025-11-30,2025-11-30,4.3,Completed,False,0.0,,3.4,Elegant design and durable build.,0.33,0,2,5999,587.3020999999999,299.95,5798.2879,Hardside Polycarbonate 65cm,Aristocrat,aarush,aarushvirk@gmail.com,+91 86001 83798,Single,Debit Card,Visa,Payment via Visa (Debit Card),Sharma-Yogi,sharma-yogi@gmail.com,+91 82901 31436,2021-07-29,LOC0108,2.2,Bags & Luggage,HDFC Bank,90981376656,HDFC4304343,Myra Biswas,+91 71174 33835,Female,2025-07-25,Contract,Bike,LOC0041,Gujarat,Vadodara,199403,West,20.599376,96.732224,Urban,Tier-2
15,OL00000016,ORD0067620,2026-04-01,2026-04-01,CUST082030,PROD000048,Electronics,SELL0504,2.0,LOC0060,DEL06374,PAY013,CAMP0144,FUL002,3,4499,2.87,5.0,86.64,2026-04-03,2026-04-05,1.1,Returned,True,-86.64,2026-04-07,1.7,Dead on Arrival (DOA),-0.77,2,2,13497,387.3639,674.85,13871.1261,boAt Enigma X600,boAt,kiaan,kiaankurian6123@gmail.com,+91 92699 31578,Single,Wallet,PhonePe,Payment via PhonePe (Wallet),Konda PLC,kondaplc9115@gmail.com,+91 70414 18411,2022-05-03,LOC0084,3.3,Electronics,IndusInd Bank,2074681182,INDB1063112,Tiya Raju,+91 84491 14707,Male,2024-09-29,Contract,Scooter,LOC0060,Kerala,Thiruvananthapuram,219885,South,8.529305,72.739525,Urban,Tier-2
16,OL00000017,ORD0013865,2025-07-07,2025-07-07,CUST046750,PROD000581,Automotive,SELL2267,3.9,LOC0082,DEL01321,PAY014,CAMP0192,FUL003,4,14999,5.14,5.0,215.79,2025-07-08,2025-07-08,4.4,Completed,False,0.0,,4.2,Improved performance noticeably.,0.42,0,1,59996,3083.7944,2999.8,60127.795600000005,Double DIN Android Head Unit,Pioneer,aayush,aayushbora7371@gmail.com,+91 87547 76371,Single,Cash on Delivery,COD,Payment via N/A (Cash on Delivery),"Gole, Chatterjee and Verma",golechatterjeeandverma@gmail.com,+91 79346 74944,2023-01-24,LOC0067,4.3,Automotive,Kotak Mahindra Bank,99887889480,KKBK7252454,Samarth Setty,+91 91892 57919,Male,2023-04-29,Full-Time,Van,LOC0082,Assam,Jorhat,711844,East,10.213663,92.896214,Semi-Urban,Tier-3
17,OL00000018,ORD0226518,2025-10-15,2025-10-15,CUST060188,PROD001068,Bags & Luggage,SELL1392,5.0,LOC0080,DEL00979,PAY009,CAMP0096,FUL001,5,2999,2.76,5.0,46.27,2025-10-20,2025-10-20,4.6,Completed,False,0.0,,5.0,Elegant design and durable build.,0.2,0,5,14995,413.862,749.75,15377.158,Woven Basket Bag Straw,Zara,nishith,nishithkant3840@gmail.com,+91 89279 55805,Single,UPI,Paytm,Payment via Paytm (UPI),"Butala, Sheth and Dugar",butalashethanddugar@gmail.com,+91 73584 24532,2024-09-02,LOC0090,5.0,Bags & Luggage,Kotak Mahindra Bank,2256588410,KKBK4822161,Shray Sampath,+91 77567 34432,Male,2021-06-20,Full-Time,Van,LOC0080,Assam,Guwahati,686660,East,17.956972,81.421774,Urban,Tier-2
18,OL00000019,ORD0275539,2026-03-11,2026-03-11,CUST077176,PROD001215,Office Supplies,SELL1984,1.4,LOC0032,DEL04594,PAY004,CAMP0092,FUL002,5,9999,5.06,5.0,86.64,2026-03-13,2026-03-14,3.2,Returned,True,-86.64,2026-03-16,1.5,Quality below expectation,-0.78,1,2,49995,2529.747,2499.75,50051.643,Workforce Pro WF-3820,Epson,tushar,tusharkhosla473@gmail.com,+91 73986 37251,Married,Debit Card,Visa,Payment via Visa (Debit Card),Sankaran-Dhillon,sankaran-dhillon@gmail.com,+91 94128 34882,2021-12-09,LOC0049,2.1,Office Supplies,HDFC Bank,940784000000,HDFC8153154,Ira Sura,+91 60885 32143,Male,2023-09-29,Contract,EV Bike,LOC0032,West Bengal,Kolkata,698626,East,32.041012,94.826578,Urban,Tier-1
19,OL00000020,ORD0103030,2025-06-30,2025-06-30,CUST062734,PROD000187,Home,SELL4247,4.0,LOC0015,DEL07335,PAY004,CAMP0131,FUL001,1,12999,8.67,5.0,46.27,2025-07-05,2025-07-05,4.1,Completed,False,0.0,,3.9,Elegant design and high-quality finish.,0.51,0,5,12999,1127.0133,649.95,12568.2067,Coffee Table Glass Top,Urban Ladder,tejas,tejasdugal@gmail.com,+91 96648 32353,Single,Debit Card,Visa,Payment via Visa (Debit Card),"Rau, Tripathi and Sridhar",rautripathiandsridhar2057@gmail.com,+91 83978 72633,2022-11-04,LOC0006,3.6,Home,Kotak Mahindra Bank,764017000000,KKBK6765800,Mannat Hora,+91 71766 00973,Female,2024-10-05,Full-Time,Van,LOC0015,Karnataka,Shivamogga,759762,South,16.243871,81.526247,Semi-Urban,Tier-3
20,OL00000021,ORD0145154,2026-02-22,2026-02-22,CUST077073,PROD001165,Gaming,SELL1821,4.0,LOC0013,DEL05926,PAY006,CAMP0151,FUL001,3,3299,6.18,5.0,46.27,2026-02-27,2026-03-01,2.4,Completed,False,0.0,,3.7,Highly enjoyable and worth it.,0.65,2,5,9897,611.6346,494.85,9826.4854,Hogwarts Legacy PC,WB Games,kiaan,kiaankoshy1745@gmail.com,+91 75503 19768,Married,Debit Card,RuPay,Payment via RuPay (Debit Card),Chawla-Borde,chawla-borde@gmail.com,+91 70193 45839,2022-06-27,LOC0037,4.2,Gaming,State Bank of India,5316163943,SBIN5816204,Seher Korpal,+91 94374 25735,Male,2023-03-10,Full-Time,Scooter,LOC0013,Karnataka,Hubballi,578900,South,20.682688,80.54473,Semi-Urban,Tier-3
21,OL00000022,ORD0187596,2025-08-09,2025-08-09,CUST026384,PROD001090,Bags & Luggage,SELL1479,3.934731896884441,LOC0081,DEL02465,PAY003,CAMP0020,FUL002,1,5999,3.25,5.0,86.64,2025-08-11,2025-08-11,3.9998830168088477,Cancelled,False,0.0,,3.718926522844328,No Comments,0.0,0,2,5999,194.9675,299.95,6190.6225,"Leather Laptop Folio 15""",Hidesign,amira,amiravohra8127@gmail.com,+91 70127 86838,Single,Credit Card,RuPay,Payment via RuPay (Credit Card),Chaudhuri PLC,chaudhuriplc2304@gmail.com,+91 60201 93414,2022-07-31,LOC0064,5.0,Bags & Luggage,ICICI Bank,291336000000,ICIC5186280,Tarini Dasgupta,+91 99583 16995,Female,2023-01-31,Full-Time,Van,LOC0081,Assam,Dibrugarh,373706,East,31.536846,96.406285,Semi-Urban,Tier-3
22,OL00000023,ORD0262627,2025-04-13,2025-04-13,CUST039173,PROD000224,Home,SELL3523,4.1,LOC0035,DEL03306,PAY008,CAMP0148,FUL003,5,799,6.51,5.0,215.79,2025-04-14,2025-04-14,4.2,Completed,False,0.0,,4.1,Very functional and practical.,0.91,0,1,3995,260.0745,199.75,4150.4655,Soil Testing Kit,Dr. Bacto,faiyaz,faiyazkale4757@gmail.com,+91 67663 88276,Married,UPI,Google Pay,Payment via Google Pay (UPI),Ratti PLC,rattiplc@gmail.com,+91 69129 32589,2023-11-23,LOC0095,4.6,Home,Kotak Mahindra Bank,8994400123,KKBK8343051,Dishani Sinha,+91 61290 81502,Male,2022-11-26,Full-Time,Van,LOC0035,West Bengal,Howrah,251697,East,15.903393,84.041078,Semi-Urban,Tier-3
23,OL00000024,ORD0025554,2026-03-28,2026-03-28,CUST040021,PROD000795,Baby,SELL0978,3.9,LOC0024,DEL03043,PAY006,CAMP0029,FUL002,1,9999,7.36,5.0,86.64,2026-03-30,2026-04-01,1.6,Completed,False,0.0,,5.0,Reliable and worth the price.,0.98,2,2,9999,735.9264,499.95,9849.6636,Electric Breast Pump Single,Medela,anika,anikagokhale@gmail.com,+91 77152 28904,Single,Debit Card,RuPay,Payment via RuPay (Debit Card),Ram-Chander,ram-chander@gmail.com,+91 65440 12355,2022-09-25,LOC0034,3.8,Baby,HDFC Bank,8889720000000,HDFC8905264,Raghav Soni,+91 87339 71313,Male,2024-01-08,Contract,Van,LOC0024,Uttar Pradesh,Lucknow,835262,North,10.314874,73.527374,Urban,Tier-2
24,OL00000025,ORD0387647,2025-07-10,2025-07-10,CUST019552,PROD000023,Electronics,SELL1868,4.7,LOC0041,DEL01132,PAY008,CAMP0111,FUL003,3,349990,9.66,5.0,215.79,2025-07-11,2025-07-11,4.6,Completed,False,0.0,,3.7,Fast setup and very user-friendly interface.,0.58,0,1,1049970,101427.102,52498.5,1001257.188,Z8 Mirrorless,Nikon,shlok,shloksrinivasan@gmail.com,+91 78365 61519,Single,UPI,Google Pay,Payment via Google Pay (UPI),Sheth-Dugar,sheth-dugar@gmail.com,+91 99781 23859,2025-07-16,LOC0075,2.9,Electronics,ICICI Bank,64714100000000,ICIC9564519,Chirag Kaul,+91 79459 88012,Female,2022-05-01,Contract,Scooter,LOC0041,Gujarat,Vadodara,199403,West,20.599376,96.732224,Urban,Tier-2
25,OL00000026,ORD0095178,2026-01-14,2026-01-14,CUST006019,PROD000401,Books,SELL4459,4.9,LOC0010,DEL05168,PAY001,CAMP0150,FUL003,5,349,7.65,5.0,215.79,2026-01-15,2026-01-15,4.6,Completed,False,0.0,,4.2,Arrived in perfect condition.,0.95,0,1,1745,133.4925,87.25,1914.5475,The Very Hungry Caterpillar,Eric Carle / Puffin,urvi,urvisaran@gmail.com,+91 82972 42905,Single,Credit Card,Visa,Payment via Visa (Credit Card),Krishnan-Mani,krishnan-mani@gmail.com,+91 81921 06089,2024-05-21,LOC0022,2.2,Books,HDFC Bank,71573000000000,HDFC4313161,Amira Kurian,+91 82833 04144,Male,2024-11-01,Contract,Bike,LOC0010,Karnataka,Bengaluru,843810,South,28.180254,81.284503,Urban,Tier-1
26,OL00000027,ORD0151182,2025-09-02,2025-09-02,CUST000733,PROD000032,Electronics,SELL1573,4.6,LOC0037,DEL06255,PAY003,CAMP0178,FUL001,5,24990,5.18,5.0,46.27,2025-09-07,2025-09-07,4.6,Completed,False,0.0,,4.4,Great value for money with solid features.,0.74,0,5,124950,6472.41,6247.5,124771.36,QuietComfort 45,Bose,suhana,suhanasom@gmail.com,+91 89435 40050,Married,Credit Card,RuPay,Payment via RuPay (Credit Card),"Aurora, Hora and Dash",aurorahoraanddash9349@gmail.com,+91 93116 39130,2022-05-01,LOC0043,3.7,Electronics,Bank of Baroda,854739000000,BARB4543131,Urvi Raval,+91 67373 06785,Female,2023-09-18,Full-Time,Bike,LOC0037,West Bengal,Haldia,274443,East,10.797744,82.09289,Semi-Urban,Tier-3
27,OL00000028,ORD0009081,2025-11-19,2025-11-19,CUST050847,PROD001120,Music & Instruments,SELL3068,4.9,LOC0074,DEL03916,PAY003,CAMP0197,FUL002,3,12999,6.13,5.0,86.64,2025-11-21,2025-11-22,3.3,Completed,False,0.0,,3.9,Premium finish and great tone.,0.5,1,2,38997,2390.5161,1949.85,38642.9739,Akai MPK Mini Play MK3,Akai,nirvaan,nirvaandhar9232@gmail.com,+91 66330 86304,Single,Credit Card,RuPay,Payment via RuPay (Credit Card),"Datta, Setty and Chawla",dattasettyandchawla@gmail.com,+91 91140 88879,2021-08-12,LOC0039,1.5,Music & Instruments,ICICI Bank,2863715191,ICIC8619438,Anay Gulati,+91 84978 36168,Female,2025-10-28,Contract,Bike,LOC0074,Bihar,Gaya,577366,East,35.722304,74.068178,Semi-Urban,Tier-3
28,OL00000029,ORD0086965,2025-12-20,2025-12-20,CUST063437,PROD000814,Pets,SELL0501,3.934731896884441,LOC0026,DEL00504,PAY005,CAMP0055,FUL003,1,3499,9.19,5.0,215.79,2025-12-21,2025-12-21,3.9998830168088477,Cancelled,False,0.0,,3.718926522844328,No Comments,0.0,0,1,3499,321.5581,174.95,3568.1819,Grain-Free Cat Food Chicken 1.5kg,Orijen,nirvi,nirvisankar@gmail.com,+91 75911 01952,Divorced,Debit Card,Mastercard,Payment via Mastercard (Debit Card),Balasubramanian and Sons,balasubramanianandsons@gmail.com,+91 74695 07022,2023-04-09,LOC0084,2.8,Pets,Union Bank of India,869522000000,UBIN8503664,Inaaya  Tailor,+91 96350 39808,Male,2024-04-30,Full-Time,EV Bike,LOC0026,Uttar Pradesh,Varanasi,113106,North,35.062367,73.335249,Urban,Tier-2
29,OL00000030,ORD0292908,2025-04-12,2025-04-12,CUST068950,PROD000198,Home,SELL0775,3.5,LOC0055,DEL06748,PAY014,CAMP0172,FUL001,3,2499,6.01,5.0,46.27,2025-04-17,2025-04-17,4.6,Completed,False,0.0,,4.3,Very functional and practical.,0.73,0,5,7497,450.5697,374.85,7467.550300000001,Throw Cushions Set of 5,House This,ela,elaedwin8738@gmail.com,+91 80150 23686,Married,Cash on Delivery,COD,Payment via N/A (Cash on Delivery),"Gade, Loyal and Kothari",gadeloyalandkothari1992@gmail.com,+91 88846 97965,2024-11-26,LOC0062,1.5,Home,Union Bank of India,45844900000000,UBIN2059651,Aayush Trivedi,+91 86943 79375,Male,2023-10-26,Full-Time,Van,LOC0055,Madhya Pradesh,Gwalior,963696,Central,8.692408,90.049016,Semi-Urban,Tier-3
30,OL00000031,ORD0331117,2026-02-14,2026-02-14,CUST008990,PROD000908,Stationery,SELL1839,4.1,LOC0064,DEL06575,PAY009,CAMP0020,FUL001,5,299,6.44,5.0,46.27,2026-02-19,2026-02-20,3.3,Completed,False,0.0,,3.0,Looks professional and neat.,0.96,1,5,1495,96.278,74.75,1519.742,Crepe Paper Rolls 12-Color,Deli,saanvi,saanviboase@gmail.com,+91 85683 34472,Single,UPI,Paytm,Payment via Paytm (UPI),Kulkarni Group,kulkarnigroup1941@gmail.com,+91 83141 38200,2025-04-10,LOC0084,2.6,Stationery,ICICI Bank,392559000000,ICIC1896847,Prerak Rajagopal,+91 82693 30239,Male,2023-12-02,Contract,EV Bike,LOC0064,Kerala,Alappuzha,365084,South,21.827462,81.120069,Semi-Urban,Tier-3
31,OL00000032,ORD0375574,2026-03-13,2026-03-13,CUST076516,PROD000362,Books,SELL2208,4.2,LOC0101,DEL05695,PAY009,CAMP0099,FUL002,5,1799,6.15,5.0,86.64,2026-03-15,2026-03-17,1.9,Completed,False,0.0,,3.6,Print quality is clear and easy to read.,0.2,2,2,8995,553.1925,449.75,8978.1975,Maus Complete Edition,Art Spiegelman / Penguin,navya,navyareddy@gmail.com,+91 83579 29092,Single,UPI,Paytm,Payment via Paytm (UPI),"Sami, Roy and Sur",samiroyandsur@gmail.com,+91 84461 78472,2023-05-14,LOC0105,1.1,Books,Bank of Baroda,64428700000000,BARB8317777,Ivana Vyas,+91 99196 59917,Male,2025-10-29,Contract,Van,LOC0101,Goa,Mapusa,380557,South,32.225768,85.789724,Semi-Urban,Tier-3
